tanggal,kurs_idr_per_usd,kurs_change,kurs_change_pct
2022-03-02,14373.0,23.0,0.1603
2022-03-04,14383.0,10.0,0.0696
2022-03-07,14411.0,28.0,0.1947
2022-03-08,14394.0,-17.0,-0.118
2022-03-09,14371.0,-23.0,-0.1598
2022-03-10,14298.0,-73.0,-0.508
2022-03-11,14306.0,8.0,0.056
2022-03-14,14328.0,22.0,0.1538
2022-03-15,14321.0,-7.0,-0.0489
2022-03-16,14311.0,-10.0,-0.0698
2022-03-17,14290.0,-21.0,-0.1467
2022-03-18,14340.0,50.0,0.3499
2022-03-21,14341.0,1.0,0.007
2022-03-22,14358.0,17.0,0.1185
2022-03-23,14351.0,-7.0,-0.0488
2022-03-24,14361.0,10.0,0.0697
2022-03-25,14341.0,-20.0,-0.1393
2022-03-28,14360.0,19.0,0.1325
2022-03-29,14364.0,4.0,0.0279
2022-03-30,14349.0,-15.0,-0.1044
2022-03-31,14357.0,8.0,0.0558
2022-04-01,14364.0,7.0,0.0488
2022-04-04,14362.0,-2.0,-0.0139
2022-04-05,14348.0,-14.0,-0.0975
2022-04-06,14364.0,16.0,0.1115
2022-04-07,14359.0,-5.0,-0.0348
2022-04-08,14365.0,6.0,0.0418
2022-04-11,14370.0,5.0,0.0348
2022-04-12,14364.0,-6.0,-0.0418
2022-04-13,14359.0,-5.0,-0.0348
2022-04-14,14349.0,-10.0,-0.0696
2022-04-18,14356.0,7.0,0.0488
2022-04-19,14347.0,-9.0,-0.0627
2022-04-20,14351.0,4.0,0.0279
2022-04-21,14348.0,-3.0,-0.0209
2022-04-22,14361.0,13.0,0.0906
2022-04-25,14452.0,91.0,0.6337
2022-04-26,14412.0,-40.0,-0.2768
2022-04-27,14418.0,6.0,0.0416
2022-04-28,14480.0,62.0,0.43
2022-05-09,14534.0,54.0,0.3729
2022-05-10,14546.0,12.0,0.0826
2022-05-11,14546.0,0.0,0.0
2022-05-12,14585.0,39.0,0.2681
2022-05-13,14619.0,34.0,0.2331
2022-05-17,14651.0,32.0,0.2189
2022-05-18,14682.0,31.0,0.2116
2022-05-19,14731.0,49.0,0.3337
2022-05-20,14661.0,-70.0,-0.4752
2022-05-23,14665.0,4.0,0.0273
2022-05-24,14653.0,-12.0,-0.0818
2022-05-25,14645.0,-8.0,-0.0546
2022-05-27,14578.0,-67.0,-0.4575
2022-05-30,14544.0,-34.0,-0.2332
2022-05-31,14592.0,48.0,0.33
2022-06-02,14526.0,-66.0,-0.4523
2022-06-03,14431.0,-95.0,-0.654
2022-06-06,14462.0,31.0,0.2148
2022-06-07,14464.0,2.0,0.0138
2022-06-08,14477.0,13.0,0.0899
2022-06-09,14555.0,78.0,0.5388
2022-06-10,14569.0,14.0,0.0962
2022-06-13,14672.0,103.0,0.707
2022-06-14,14729.0,57.0,0.3885
2022-06-15,14746.0,17.0,0.1154
2022-06-16,14741.0,-5.0,-0.0339
2022-06-17,14828.0,87.0,0.5902
2022-06-20,14836.0,8.0,0.054
2022-06-21,14804.0,-32.0,-0.2157
2022-06-22,14860.0,56.0,0.3783
2022-06-23,14835.0,-25.0,-0.1682
2022-06-24,14846.0,11.0,0.0741
2022-06-27,14802.0,-44.0,-0.2964
2022-06-28,14837.0,35.0,0.2365
2022-06-29,14848.0,11.0,0.0741
2022-06-30,14882.0,34.0,0.229
2022-07-01,14956.0,74.0,0.4972
2022-07-04,14960.0,4.0,0.0267
2022-07-05,14990.0,30.0,0.2005
2022-07-06,15015.0,25.0,0.1668
2022-07-07,14986.0,-29.0,-0.1931
2022-07-08,14981.0,-5.0,-0.0334
2022-07-11,14969.0,-12.0,-0.0801
2022-07-12,14993.0,24.0,0.1603
2022-07-13,14985.0,-8.0,-0.0534
2022-07-14,14999.0,14.0,0.0934
2022-07-15,14999.0,0.0,0.0
2022-07-18,14986.0,-13.0,-0.0867
2022-07-19,14992.0,6.0,0.04
2022-07-20,14984.0,-8.0,-0.0534
2022-07-21,15017.0,33.0,0.2202
2022-07-22,15024.0,7.0,0.0466
2022-07-25,14992.0,-32.0,-0.213
2022-07-26,14984.0,-8.0,-0.0534
2022-07-27,15020.0,36.0,0.2403
2022-07-28,14958.0,-62.0,-0.4128
2022-07-29,14860.0,-98.0,-0.6552
2022-08-01,14874.0,14.0,0.0942
2022-08-02,14888.0,14.0,0.0941
2022-08-03,14917.0,29.0,0.1948
2022-08-04,14929.0,12.0,0.0804
2022-08-05,14904.0,-25.0,-0.1675
2022-08-08,14915.0,11.0,0.0738
2022-08-09,14862.0,-53.0,-0.3553
2022-08-10,14875.0,13.0,0.0875
2022-08-11,14799.0,-76.0,-0.5109
2022-08-12,14688.0,-111.0,-0.7501
2022-08-15,14727.0,39.0,0.2655
2022-08-16,14767.0,40.0,0.2716
2022-08-18,14822.0,55.0,0.3725
2022-08-19,14858.0,36.0,0.2429
2022-08-22,14882.0,24.0,0.1615
2022-08-23,14893.0,11.0,0.0739
2022-08-24,14851.0,-42.0,-0.282
2022-08-25,14827.0,-24.0,-0.1616
2022-08-26,14814.0,-13.0,-0.0877
2022-08-29,14887.0,73.0,0.4928
2022-08-30,14875.0,-12.0,-0.0806
2022-08-31,14853.0,-22.0,-0.1479
2022-09-01,14884.0,31.0,0.2087
2022-09-02,14900.0,16.0,0.1075
2022-09-05,14920.0,20.0,0.1342
2022-09-06,14885.0,-35.0,-0.2346
2022-09-07,14927.0,42.0,0.2822
2022-09-08,14905.0,-22.0,-0.1474
2022-09-09,14846.0,-59.0,-0.3958
2022-09-12,14839.0,-7.0,-0.0472
2022-09-13,14861.0,22.0,0.1483
2022-09-14,14923.0,62.0,0.4172
2022-09-15,14899.0,-24.0,-0.1608
2022-09-16,14939.0,40.0,0.2685
2022-09-19,14980.0,41.0,0.2744
2022-09-20,14975.0,-5.0,-0.0334
2022-09-21,15011.0,36.0,0.2404
2022-09-22,15033.0,22.0,0.1466
2022-09-23,15035.0,2.0,0.0133
2022-09-26,15119.0,84.0,0.5587
2022-09-27,15155.0,36.0,0.2381
2022-09-28,15243.0,88.0,0.5807
2022-09-29,15247.0,4.0,0.0262
2022-09-30,15232.0,-15.0,-0.0984
2022-10-03,15293.0,61.0,0.4005
2022-10-04,15276.0,-17.0,-0.1112
2022-10-05,15196.0,-80.0,-0.5237
2022-10-06,15197.0,1.0,0.0066
2022-10-07,15246.0,49.0,0.3224
2022-10-10,15299.0,53.0,0.3476
2022-10-11,15362.0,63.0,0.4118
2022-10-12,15373.0,11.0,0.0716
2022-10-13,15357.0,-16.0,-0.1041
2022-10-14,15390.0,33.0,0.2149
2022-10-17,15480.0,90.0,0.5848
2022-10-18,15469.0,-11.0,-0.0711
2022-10-19,15491.0,22.0,0.1422
2022-10-20,15579.0,88.0,0.5681
2022-10-21,15610.0,31.0,0.199
2022-10-24,15590.0,-20.0,-0.1281
2022-10-25,15616.0,26.0,0.1668
2022-10-26,15596.0,-20.0,-0.1281
2022-10-27,15573.0,-23.0,-0.1475
2022-10-28,15542.0,-31.0,-0.1991
2022-10-31,15596.0,54.0,0.3474
2022-11-01,15647.0,51.0,0.327
2022-11-02,15652.0,5.0,0.032
2022-11-03,15681.0,29.0,0.1853
2022-11-04,15736.0,55.0,0.3507
2022-11-07,15692.0,-44.0,-0.2796
2022-11-08,15684.0,-8.0,-0.051
2022-11-09,15654.0,-30.0,-0.1913
2022-11-10,15701.0,47.0,0.3002
2022-11-11,15493.0,-208.0,-1.3248
2022-11-14,15499.0,6.0,0.0387
2022-11-15,15564.0,65.0,0.4194
2022-11-16,15610.0,46.0,0.2956
2022-11-17,15687.0,77.0,0.4933
2022-11-18,15692.0,5.0,0.0319
2022-11-21,15707.0,15.0,0.0956
2022-11-22,15716.0,9.0,0.0573
2022-11-23,15700.0,-16.0,-0.1018
2022-11-24,15647.0,-53.0,-0.3376
2022-11-25,15668.0,21.0,0.1342
2022-11-28,15729.0,61.0,0.3893
2022-11-29,15737.0,8.0,0.0509
2022-11-30,15742.0,5.0,0.0318
2022-12-01,15617.0,-125.0,-0.7941
2022-12-02,15429.0,-188.0,-1.2038
2022-12-05,15409.0,-20.0,-0.1296
2022-12-06,15576.0,167.0,1.0838
2022-12-07,15619.0,43.0,0.2761
2022-12-08,15624.0,5.0,0.032
2022-12-09,15587.0,-37.0,-0.2368
2022-12-12,15642.0,55.0,0.3529
2022-12-13,15661.0,19.0,0.1215
2022-12-14,15619.0,-42.0,-0.2682
2022-12-15,15630.0,11.0,0.0704
2022-12-16,15617.0,-13.0,-0.0832
2022-12-19,15621.0,4.0,0.0256
2022-12-20,15608.0,-13.0,-0.0832
2022-12-21,15601.0,-7.0,-0.0448
2022-12-22,15594.0,-7.0,-0.0449
2022-12-23,15605.0,11.0,0.0705
2022-12-26,15636.0,31.0,0.1987
2022-12-27,15659.0,23.0,0.1471
2022-12-28,15703.0,44.0,0.281
2022-12-29,15731.0,28.0,0.1783
2022-12-30,15592.0,-139.0,-0.8836
2023-01-02,15572.0,-20.0,-0.1283
2023-01-03,15590.0,18.0,0.1156
2023-01-04,15615.0,25.0,0.1604
2023-01-05,15610.0,-5.0,-0.032
2023-01-06,15635.0,25.0,0.1602
2023-01-09,15574.0,-61.0,-0.3902
2023-01-10,15589.0,15.0,0.0963
2023-01-11,15527.0,-62.0,-0.3977
2023-01-12,15366.0,-161.0,-1.0369
2023-01-13,15177.0,-189.0,-1.23
2023-01-16,15019.0,-158.0,-1.041
2023-01-17,15154.0,135.0,0.8989
2023-01-18,15137.0,-17.0,-0.1122
2023-01-19,15113.0,-24.0,-0.1586
2023-01-20,15121.0,8.0,0.0529
2023-01-24,14930.0,-191.0,-1.2631
2023-01-25,14958.0,28.0,0.1875
2023-01-26,14964.0,6.0,0.0401
2023-01-27,14978.0,14.0,0.0936
2023-01-30,14979.0,1.0,0.0067
2023-01-31,14992.0,13.0,0.0868
2023-02-01,14991.0,-1.0,-0.0067
2023-02-02,14868.0,-123.0,-0.8205
2023-02-03,14898.0,30.0,0.2018
2023-02-06,15055.0,157.0,1.0538
2023-02-07,15139.0,84.0,0.558
2023-02-08,15122.0,-17.0,-0.1123
2023-02-09,15120.0,-2.0,-0.0132
2023-02-10,15140.0,20.0,0.1323
2023-02-13,15216.0,76.0,0.502
2023-02-14,15168.0,-48.0,-0.3155
2023-02-15,15194.0,26.0,0.1714
2023-02-16,15176.0,-18.0,-0.1185
2023-02-17,15199.0,23.0,0.1516
2023-02-20,15168.0,-31.0,-0.204
2023-02-21,15179.0,11.0,0.0725
2023-02-22,15218.0,39.0,0.2569
2023-02-23,15187.0,-31.0,-0.2037
2023-02-24,15216.0,29.0,0.191
2023-02-27,15274.0,58.0,0.3812
2023-02-28,15240.0,-34.0,-0.2226
2023-03-01,15250.0,10.0,0.0656
2023-03-02,15273.0,23.0,0.1508
2023-03-03,15306.0,33.0,0.2161
2023-03-06,15301.0,-5.0,-0.0327
2023-03-07,15359.0,58.0,0.3791
2023-03-08,15451.0,92.0,0.599
2023-03-09,15438.0,-13.0,-0.0841
2023-03-10,15468.0,30.0,0.1943
2023-03-13,15374.0,-94.0,-0.6077
2023-03-14,15380.0,6.0,0.039
2023-03-15,15365.0,-15.0,-0.0975
2023-03-16,15418.0,53.0,0.3449
2023-03-17,15364.0,-54.0,-0.3502
2023-03-20,15372.0,8.0,0.0521
2023-03-21,15349.0,-23.0,-0.1496
2023-03-24,15189.0,-160.0,-1.0424
2023-03-27,15174.0,-15.0,-0.0988
2023-03-28,15088.0,-86.0,-0.5668
2023-03-29,15094.0,6.0,0.0398
2023-03-30,15062.0,-32.0,-0.212
2023-03-31,14977.0,-85.0,-0.5643
2023-04-03,14990.0,13.0,0.0868
2023-04-04,14913.0,-77.0,-0.5137
2023-04-05,14933.0,20.0,0.1341
2023-04-06,14943.0,10.0,0.067
2023-04-10,14905.0,-38.0,-0.2543
2023-04-11,14888.0,-17.0,-0.1141
2023-04-12,14866.0,-22.0,-0.1478
2023-04-13,14792.0,-74.0,-0.4978
2023-04-14,14666.0,-126.0,-0.8518
2023-04-17,14773.0,107.0,0.7296
2023-04-18,14855.0,82.0,0.5551
2023-04-26,14882.0,27.0,0.1818
2023-04-27,14751.0,-131.0,-0.8803
2023-04-28,14661.0,-90.0,-0.6101
2023-05-02,14703.0,42.0,0.2865
2023-05-03,14706.0,3.0,0.0204
2023-05-04,14632.0,-74.0,-0.5032
2023-05-05,14674.0,42.0,0.287
2023-05-08,14709.0,35.0,0.2385
2023-05-09,14757.0,48.0,0.3263
2023-05-10,14746.0,-11.0,-0.0745
2023-05-11,14722.0,-24.0,-0.1628
2023-05-12,14752.0,30.0,0.2038
2023-05-15,14812.0,60.0,0.4067
2023-05-16,14810.0,-2.0,-0.0135
2023-05-17,14875.0,65.0,0.4389
2023-05-19,14936.0,61.0,0.4101
2023-05-22,14897.0,-39.0,-0.2611
2023-05-23,14878.0,-19.0,-0.1275
2023-05-24,14905.0,27.0,0.1815
2023-05-25,14952.0,47.0,0.3153
2023-05-26,14959.0,7.0,0.0468
2023-05-29,14973.0,14.0,0.0936
2023-05-30,14969.0,-4.0,-0.0267
2023-05-31,15003.0,34.0,0.2271
2023-06-05,14888.0,-115.0,-0.7665
2023-06-06,14839.0,-49.0,-0.3291
2023-06-07,14875.0,36.0,0.2426
2023-06-08,14903.0,28.0,0.1882
2023-06-09,14853.0,-50.0,-0.3355
2023-06-12,14874.0,21.0,0.1414
2023-06-13,14868.0,-6.0,-0.0403
2023-06-14,14895.0,27.0,0.1816
2023-06-15,14943.0,48.0,0.3223
2023-06-16,14945.0,2.0,0.0134
2023-06-19,14994.0,49.0,0.3279
2023-06-20,15040.0,46.0,0.3068
2023-06-21,14982.0,-58.0,-0.3856
2023-06-22,14918.0,-64.0,-0.4272
2023-06-23,14998.0,80.0,0.5363
2023-06-26,15026.0,28.0,0.1867
2023-06-27,15000.0,-26.0,-0.173
2023-07-03,15034.0,34.0,0.2267
2023-07-04,15018.0,-16.0,-0.1064
2023-07-05,15013.0,-5.0,-0.0333
2023-07-06,15062.0,49.0,0.3264
2023-07-07,15136.0,74.0,0.4913
2023-07-10,15192.0,56.0,0.37
2023-07-11,15162.0,-30.0,-0.1975
2023-07-12,15084.0,-78.0,-0.5144
2023-07-13,14978.0,-106.0,-0.7027
2023-07-14,14945.0,-33.0,-0.2203
2023-07-17,15007.0,62.0,0.4149
2023-07-18,14994.0,-13.0,-0.0866
2023-07-20,14991.0,-3.0,-0.02
2023-07-21,15026.0,35.0,0.2335
2023-07-24,15028.0,2.0,0.0133
2023-07-25,15007.0,-21.0,-0.1397
2023-07-26,15032.0,25.0,0.1666
2023-07-27,15003.0,-29.0,-0.1929
2023-07-28,15083.0,80.0,0.5332
2023-07-31,15092.0,9.0,0.0597
2023-08-01,15117.0,25.0,0.1657
2023-08-02,15171.0,54.0,0.3572
2023-08-03,15198.0,27.0,0.178
2023-08-04,15168.0,-30.0,-0.1974
2023-08-07,15178.0,10.0,0.0659
2023-08-08,15229.0,51.0,0.336
2023-08-09,15206.0,-23.0,-0.151
2023-08-10,15204.0,-2.0,-0.0132
2023-08-11,15225.0,21.0,0.1381
2023-08-14,15323.0,98.0,0.6437
2023-08-15,15346.0,23.0,0.1501
2023-08-16,15308.0,-38.0,-0.2476
2023-08-18,15308.0,0.0,0.0
2023-08-21,15329.0,21.0,0.1372
2023-08-22,15326.0,-3.0,-0.0196
2023-08-23,15319.0,-7.0,-0.0457
2023-08-24,15253.0,-66.0,-0.4308
2023-08-25,15297.0,44.0,0.2885
2023-08-28,15294.0,-3.0,-0.0196
2023-08-29,15263.0,-31.0,-0.2027
2023-08-30,15239.0,-24.0,-0.1572
2023-08-31,15237.0,-2.0,-0.0131
2023-09-01,15252.0,15.0,0.0984
2023-09-04,15247.0,-5.0,-0.0328
2023-09-05,15260.0,13.0,0.0853
2023-09-06,15307.0,47.0,0.308
2023-09-07,15334.0,27.0,0.1764
2023-09-08,15341.0,7.0,0.0457
2023-09-11,15352.0,11.0,0.0717
2023-09-12,15344.0,-8.0,-0.0521
2023-09-13,15367.0,23.0,0.1499
2023-09-14,15357.0,-10.0,-0.0651
2023-09-15,15367.0,10.0,0.0651
2023-09-18,15373.0,6.0,0.039
2023-09-19,15381.0,8.0,0.052
2023-09-20,15396.0,15.0,0.0975
2023-09-21,15397.0,1.0,0.0065
2023-09-22,15383.0,-14.0,-0.0909
2023-09-25,15399.0,16.0,0.104
2023-09-26,15464.0,65.0,0.4221
2023-09-27,15526.0,62.0,0.4009
2023-09-29,15487.0,-39.0,-0.2512
2023-10-02,15519.0,32.0,0.2066
2023-10-03,15600.0,81.0,0.5219
2023-10-04,15636.0,36.0,0.2308
2023-10-05,15601.0,-35.0,-0.2238
2023-10-06,15628.0,27.0,0.1731
2023-10-09,15675.0,47.0,0.3007
2023-10-10,15708.0,33.0,0.2105
2023-10-11,15710.0,2.0,0.0127
2023-10-12,15702.0,-8.0,-0.0509
2023-10-13,15709.0,7.0,0.0446
2023-10-16,15716.0,7.0,0.0446
2023-10-17,15718.0,2.0,0.0127
2023-10-18,15731.0,13.0,0.0827
2023-10-19,15838.0,107.0,0.6802
2023-10-20,15856.0,18.0,0.1137
2023-10-23,15943.0,87.0,0.5487
2023-10-24,15869.0,-74.0,-0.4642
2023-10-25,15871.0,2.0,0.0126
2023-10-26,15933.0,62.0,0.3906
2023-10-27,15941.0,8.0,0.0502
2023-10-30,15916.0,-25.0,-0.1568
2023-10-31,15897.0,-19.0,-0.1194
2023-11-01,15946.0,49.0,0.3082
2023-11-02,15861.0,-85.0,-0.533
2023-11-03,15771.0,-90.0,-0.5674
2023-11-06,15550.0,-221.0,-1.4013
2023-11-07,15593.0,43.0,0.2765
2023-11-08,15629.0,36.0,0.2309
2023-11-09,15649.0,20.0,0.128
2023-11-10,15693.0,44.0,0.2812
2023-11-13,15713.0,20.0,0.1274
2023-11-14,15699.0,-14.0,-0.0891
2023-11-15,15503.0,-196.0,-1.2485
2023-11-16,15595.0,92.0,0.5934
2023-11-17,15504.0,-91.0,-0.5835
2023-11-20,15419.0,-85.0,-0.5482
2023-11-21,15436.0,17.0,0.1103
2023-11-22,15584.0,148.0,0.9588
2023-11-23,15593.0,9.0,0.0578
2023-11-24,15587.0,-6.0,-0.0385
2023-11-27,15527.0,-60.0,-0.3849
2023-11-28,15450.0,-77.0,-0.4959
2023-11-29,15384.0,-66.0,-0.4272
2023-11-30,15484.0,100.0,0.65
2023-12-01,15524.0,40.0,0.2583
2023-12-04,15446.0,-78.0,-0.5024
2023-12-05,15504.0,58.0,0.3755
2023-12-06,15504.0,0.0,0.0
2023-12-07,15536.0,32.0,0.2064
2023-12-08,15500.0,-36.0,-0.2317
2023-12-11,15614.0,114.0,0.7355
2023-12-12,15631.0,17.0,0.1089
2023-12-13,15629.0,-2.0,-0.0128
2023-12-14,15493.0,-136.0,-0.8702
2023-12-15,15503.0,10.0,0.0645
2023-12-18,15516.0,13.0,0.0839
2023-12-19,15506.0,-10.0,-0.0644
2023-12-20,15512.0,6.0,0.0387
2023-12-21,15533.0,21.0,0.1354
2023-12-22,15489.0,-44.0,-0.2833
2023-12-27,15414.0,-75.0,-0.4842
2023-12-28,15416.0,2.0,0.013
2023-12-29,15439.0,23.0,0.1492
2024-01-02,15473.0,34.0,0.2202
2024-01-03,15495.0,22.0,0.1422
2024-01-04,15525.0,30.0,0.1936
2024-01-05,15518.0,-7.0,-0.0451
2024-01-08,15522.0,4.0,0.0258
2024-01-09,15518.0,-4.0,-0.0258
2024-01-10,15568.0,50.0,0.3222
2024-01-11,15558.0,-10.0,-0.0642
2024-01-12,15559.0,1.0,0.0064
2024-01-15,15555.0,-4.0,-0.0257
2024-01-16,15592.0,37.0,0.2379
2024-01-17,15639.0,47.0,0.3014
2024-01-18,15630.0,-9.0,-0.0575
2024-01-19,15628.0,-2.0,-0.0128
2024-01-22,15627.0,-1.0,-0.0064
2024-01-23,15656.0,29.0,0.1856
2024-01-24,15719.0,63.0,0.4024
2024-01-25,15767.0,48.0,0.3054
2024-01-26,15829.0,62.0,0.3932
2024-01-29,15825.0,-4.0,-0.0253
2024-01-30,15796.0,-29.0,-0.1833
2024-01-31,15803.0,7.0,0.0443
2024-02-01,15775.0,-28.0,-0.1772
2024-02-02,15688.0,-87.0,-0.5515
2024-02-05,15705.0,17.0,0.1084
2024-02-06,15734.0,29.0,0.1847
2024-02-07,15685.0,-49.0,-0.3114
2024-02-12,15612.0,-73.0,-0.4654
2024-02-13,15585.0,-27.0,-0.1729
2024-02-15,15606.0,21.0,0.1347
2024-02-16,15654.0,48.0,0.3076
2024-02-19,15630.0,-24.0,-0.1533
2024-02-20,15659.0,29.0,0.1855
2024-02-21,15658.0,-1.0,-0.0064
2024-02-22,15630.0,-28.0,-0.1788
2024-02-23,15589.0,-41.0,-0.2623
2024-02-26,15635.0,46.0,0.2951
2024-02-27,15655.0,20.0,0.1279
2024-02-28,15673.0,18.0,0.115
2024-02-29,15715.0,42.0,0.268
2024-03-01,15696.0,-19.0,-0.1209
2024-03-04,15723.0,27.0,0.172
2024-03-05,15756.0,33.0,0.2099
2024-03-06,15723.0,-33.0,-0.2094
2024-03-07,15658.0,-65.0,-0.4134
2024-03-08,15603.0,-55.0,-0.3513
2024-03-13,15576.0,-27.0,-0.173
2024-03-14,15582.0,6.0,0.0385
2024-03-15,15624.0,42.0,0.2695
2024-03-18,15672.0,48.0,0.3072
2024-03-19,15712.0,40.0,0.2552
2024-03-20,15727.0,15.0,0.0955
2024-03-21,15662.0,-65.0,-0.4133
2024-03-22,15773.0,111.0,0.7087
2024-03-25,15795.0,22.0,0.1395
2024-03-26,15797.0,2.0,0.0127
2024-03-27,15853.0,56.0,0.3545
2024-03-28,15873.0,20.0,0.1262
2024-04-01,15909.0,36.0,0.2268
2024-04-02,15934.0,25.0,0.1571
2024-04-03,15923.0,-11.0,-0.069
2024-04-04,15907.0,-16.0,-0.1005
2024-04-05,15873.0,-34.0,-0.2137
2024-04-16,16176.0,303.0,1.9089
2024-04-17,16240.0,64.0,0.3956
2024-04-18,16177.0,-63.0,-0.3879
2024-04-19,16280.0,103.0,0.6367
2024-04-22,16224.0,-56.0,-0.344
